a
grosser
grosses
groß
große
großen
großer
großes
gut
gute
guter
gutes
h
hab
habe
haben
habt
had
hadst
hae
hardly
has
hast
hat
hath
hatte
hatten
hattest
hattet
have
haves
having
he
heisst
hence
her
hereafter
hereafters
hereby
herein
hereupon
hers
herself
heute
hier
him
himself
hin
hinter
his
hither
hitherer
hitherest
hoch
hoo
hoos
how
how-do-you-do
howbeit
howdoyoudo
however
huh
humph
hätte
hätten
i
ich
idem
idemer
idemest
ie
if
ifs
ihm
ihn
ihnen
ihr
ihre
ihrem
ihren
ihrer
ihres
im
immediate
immediately
immediater
immediatest
immer
in
inasmuch
inc
indeed
indem
indicate
indicated
indicates
indicating
info
infolgedessen
information
ins
insofar
instead
into
inward
inwarder
inwardest
inwards
irgend
is
ist
it
its
itself
j
ja
jahr
jahre
jahren
je
jede
jedem
jeden
jeder
jedermann
jedermanns
jedes
jedoch
jemand
jemandem
jemanden
jene
jenem
jenen
jener
jenes
jetzt
k
kam
kann
kannst
kaum
kein
keine
keinem
keinen
keiner
keines
kleine
kleinen
kleiner
kleines
koennen
koennte
kommen
kommt
konnte
konnten
kurz
können
könnt
könnte
l
lang
lange
latter
latterer
latterest
latterly
latters
layabout
layabouts
leicht
leide
less
lest
lieber
los
lot
lots
lotted
lotting
m
machen
macht
machte
mag
magst
mahn
main
make
mal
man
manche
manchem
manchen
mancher
manches
mann
many
mauger
maugre
mayest
me
meanwhile
meanwhiles
mehr
mein
meine
meinem
meinen
meiner
meines
mensch
menschen
mich
midst
midsts
might
mights
mir
mit
mittel
mochte
mochten
more
moreover
morgen
most
mostly
much
mucher
muchest
muss
musst
musste
mussten
must
musth
musths
musts
muß
mußt
my
myself
möchte
mögen
möglich
mögt
müssen
müsst
müßt
n
na
nach
nachdem
nahm
natheless
nathless
natürlich
neath
neaths
neben
necessarier
necessariest
necessary
nein
neither
nethe
nethermost
neue
neuen
neun
neunte
neunten
neunter
neuntes
never
nevertheless
nicht
nichts
nie
niemand
niemandem
niemanden
nigh
nigher
nighest
nine
no
no-one
nobodies
nobody
noch
noes
none
noone
nor
nos
not
nothing
nothings
notwithstanding
nowhere
nowheres
nun
nur
o
ob
oben
oder
of
off
offen
offest
offs
oft
often
oftener
oftenest
oh
ohne
on
one
oneself
onest
ons
onto
or
ordnung
orer
orest
other
others
otherwise
otherwiser
otherwisest
ought
oughts
our
ours
ourself
ourselves
out
outed
outest
outs
outside
outwith
over
overall
overaller
overallest
overalls
overs
own
owned
owning
owns
owt
p
particular
particularer
particularest
particularly
particulars
per
perhaps
plaintiff
please
pleased
pleases
plenties
plenty
pro
probably
provide
provided
provides
providing
q
qua
que
quite
r
rath
rathe
rather
rathest
re
really
recht
rechte
rechten
rechter
rechtes
regarding
relate
related
relatively
res
respecting
respectively
richtig
rund
s
sa
sache
sagt
sagte
sah
said
saider
saidest
same
samer
sames
samest
sans
sanserif
sanserifs
sanses
satt
saved
sayid
sayyid
schlecht
schluss
schon
sechs
sechste
sechsten
sechster
sechstes
seem
seemed
seeminger
seemingest
seemings
seems
sehr
sei
seid
seien
sein
seine
seinem
seinen
seiner
seines
seit
seitdem
selbst
send
sent
senza
serious
seriouser
seriousest
seven
several
severaler
severalest
shall
shalled
shalling
shalls
she
should
shoulded
shoulding
shoulds
sich
sie
sieben
siebente
siebenten
siebenter
siebentes
since
sind
sine
sines
sith
six
so
sobeit
soer
soest
solang
solche
solchem
solchen
solcher
solches
soll
sollen
sollst
sollt
sollte
sollten
some
somebody
somehow
someone
something
sometime
sometimer
sometimes
sometimest
somewhat
somewhere
sondern
sonst
soweit
sowie
später
startseite
statt
steht
stop
stopped
such
suche
summat
sup
supped
supping
sups
syn
syne
t
tag
tage
tagen
tat
teil
tel
ten
than
that
the
thee
their
theirs
them
themselves
then
thence
thener
thenest
there
thereafter
thereby
therefore
therein
therer
therest
thereupon
these
they
thine
thing
things
this
thises
thorough
thorougher
thoroughest
thoroughly
those
thou
though
thous
thouses
three
thro
through
througher
throughest
throughout
thru
thruer
thruest
thus
thy
thyself
till
tilled
tilling
tills
to
together
too
toward
towarder
towardest
towards
tritt
trotzdem
tun
two
u
ueber
uhr
um
umpteen
und
under
underneath
unless
unlike
unliker
unlikest
uns
unse
unsem
unsen
unser
unsere
unserem
unseren
unserer
unseres
unses
unter
until
unto
up
upon
uponed
uponing
upons
upped
upping
ups
us
use
used
usedest
username
usually
v
various
variouser
variousest
vergangenen
verier
veriest
versus
very
via
viel
viele
vielem
vielen
vielleicht
vier
vierte
vierten
vierter
viertes
vis-a-vis
vis-a-viser
vis-a-visest
viz
vom
von
vor
vs
w
waehrend
wahr
wann
war
waren
warst
wart
warum
was
wast
we
weg
wegen
weil
weit
weiter
weitere
weiteren
weiteres
welche
welchem
welchen
welcher
welches
wem
wen
wenig
wenige
weniger
weniges
wenigstens
wenn
wer
werde
werden
werdet
were
wert
weshalb
wessen
what
whatever
whateverer
whateverest
whatsoever
whatsoeverer
whatsoeverest
wheen
when
whenas
whence
whencesoever
whenever
whensoever
where
whereafter
whereas
whereby
wherefrom
wherein
whereinto
whereof
whereon
wheresoever
whereto
whereupon
wherever
wherewith
wherewithal
whether
which
whichever
whichsoever
while
whiles
whilst
whither
whithersoever
whoever
whomever
whose
whoso
whosoever
why
wie
wieder
wieso
will
willst
wir
wird
wirklich
wirst
wissen
with
withal
within
without
wo
woher
wohin
wohl
wollen
wollt
wollte
wollten
worden
would
woulded
woulding
woulds
wuerde
wuerden
wurde
wurden
während
währenddem
währenddessen
wäre
würde
würden
x
y
ye
yet
yon
yond
yonder
you
your
yours
yourself
yourselves
z
z.b
zehn
zehnte
zehnten
zehnter
zehntes
zeit
zillion
zu
zuerst
zugleich
zum
zunächst
zur
zurück
zusammen
zwanzig
zwar
zwei
zweite
zweiten
zweiter
zweites
zwischen
zwölf
über
überhaupt
übrigens
