"alsatia" verlag
"archimedes" verlag
"bote aus dem riesengebirge"
"die unzufriedene"
"literarischer europäer", der verlag des verbands russischer schriftsteller in deutschland
"nach feierabend", verlagsanstalt, gottfried gottwald & co.
"odin" deutschvölkischer verlag
"ostsee-druck" stettiner druckerei gmbh
"von haus zu haus"
"von haus zu haus", adolf mahn
"zeitgeschichte" verlag und vertriebs-gesellschaft mbh
& etc
'brücken-verlag' gmbh
... albrecht
... armstrong
... bischof
... blanchard
... boyes
... brown
... carey
... cassell
... cowperthwait
... dennet
... dietrich
... droysen
... ebner
... erhard
... ernst
... faber
... fairbank
... finck
... fleckeisen
... furrer
... geisler
... getz
... glandenberg
... gruner witwe
... gröbl
... gubitz
... gädicke gebrüder
... günter
... günther
... hartmann
... hauer
... hennings
... herder
... herrcke
... herwig
... heuser
... heymann
... house
... huber
... karl
... katz
... klüger
... kästern
... kürschner
... langbein
... leary
... lebeling
... leigh
... löflund
... magnus
... manolessi
... mathews
... mathieux
... nitsche
... nitschke
... pfähler gebrüder
... plaskitt
... prodotto familie
... prätorius
... raf
... reichenbach
... robinson
... rouille erben
... rovoudt
... saint-florent
... schauff
... schultz
... schwers
... seidler
... seyde
... spohr
... stahl
... steidel
... tappan
... theissing
... thomas
... tramburg
... treacher
... trowitzsch
... trömner
... voß
... wengler
... whittaker
... wundermann
... zürcher
110 verlagsanstalt und druckerei a.-g.
2rc edizioni d'arte
3i4
5 sens éditions
8 nëntori
8 nëntori publishing house
a & c black
a & c black publishers limited
a iod. guil. kohlesio
a jod. guil. kohlesio
a u. g. de may
a wake newslitter press
a&c black
a. & c. black
a. & g. de may
a. & i. churchil
a. & i. churchill
a. & j. churchil
a. & j. churchill
a. a. noske
a. a. wyn, inc.
a. alliana
a. and c. black
a. and j. churchil
a. and j. churchill
a. anton & co.
a. asher's library
a. b. auerbach
a. bagel
a. bagel's verlag
a. bath
a. bauer
a. bazzarini
a. beig's verlags-anstalt
a. bergmann
a. bernecker heimatschollenverlag
a. bernstein
a. bielefeld's verlag
a. bleier verlag nachf.
a. bleier verlag nachf., joh. eckell
a. blencke & co.
a. blumer
a. blussé en zoon
a. bock
a. bohn
a. bolm
a. borndrück
a. brandes
a. braun & co.
a. bregenzer's buchhandlung
a. bruckmann's verlag
a. c. reher
a. chierici
a. constable & co.
a. cotelle
a. cotillon & cie.
a. d. geisler
a. d. geisler's verlagshandlung
a. dannehl's verlag
a. daul & comp.
a. degenmann & comp.
a. deubner
a. devrient
a. dittmer
a. duncker's buch-verlag
a. dühr, stralsunder verlagsbuchhandlung
a. e. evans & son
a. e. fischer
a. e. radetzki
a. e. utsch
a. edelmann
a. edelmannus, typis
a. edlinger's verlag
a. eichler
a. entsch
a. erlecke
a. et g. mornay, libraires à paris
a. ettlich
a. eyraud's kunstanstalt
a. eyssenhardt
a. f. butsch's verlag
a. f. böhme
a. f. böhme's separat-conto
a. f. macklot
a. f. marks
a. f. seifert
a. f. v. schütz
a. felgner
a. foerster's verlag
a. franck'sche verlags-buchhandlung
a. francke ag
a. francke verlag
a. francke vormals schmid & francke
a. freyschmidt
a. freyschmidt königliche hofbuch- und kunsthandlung
a. frohberger's separat-conto
a. förstner'sche buchhandlung p. jeanrenaud
a. fösser nachfolger
a. fösser'sche buch-, kunst- und verlagshandlung
a. g. hoffmann
a. g. liebeskind
a. g. liebeskind buch- und papierhandlung
a. g. meißner
a. g. meißnerische buchhandlung
a. g. schneider- und weigelsche kais. priv. kunst- und buchhandlung
a. genter verlag
a. giuffrè editore
a. glöckner verlagsbuchhandlung
a. gosohorsky
a. gosohorsky's buchhandlung
a. gosohorsky's verlag
a. graff
a. graffs buchhandlung
a. gustavo morelli
a. gutmann & co.
a. göbel
a. h. fiedler
a. h. godiches efterleverske
a. h. godiches efterleverskes forlag
a. h. gottschick's buchhandlung
a. h. gottschick-witter's buchhandlung
a. h. müller
a. h. payne
a. h. payne's verlag
a. h. payne, englische kunstanstalt
a. haack
a. haase
a. hall, virtue and co
a. hall, virtue and co.
a. harich
a. hart
a. hartleben
a. hartleben's verlag
a. hartleben's verlags- und commissions-buchhandlung
a. hartleben's verlags-buchhandlung
a. hartleben, buchhandlung für periodische literatur
a. hartlebens's verlag
a. haude et j. c. spener
a. haude und joh. c. spener
a. heinrich
a. hellendoorn, buchdruckerei und verlag
a. helmich
a. helmich's verlag
a. hepner's verlag
a. herold
a. herrmann's verlag
a. hess
a. hildebrand
a. hildebrand's verlag
a. hildebrandt
a. hoffmann
a. hofmann & comp.
a. hofmann's separat-conto
a. hofmann's separat-conto, allgemeiner verein für deutsche literatur
a. hofmann's verlagsexpedition
a. hohmann
a. hohmann's verlag
a. huber
a. huber, buch- und offsetdruck kg
a. huber, graphische kunstanstalt
a. hübenthal & comp.
a. j. hofmann, frankfurt am main
a. jahnke verlag
a. janiszewski gmbh
a. janssen
a. keller
a. keller'sche buchhandlung
a. kirsch
a. kothe
a. krabbe
a. krabbe's verlagsbuchhandlung
